;Id;Context;Pronoun;Position;Candidate Antecedent;Answer
16;2007-ertms#4;During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state. If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.;70;70.0;[15, 17];0
17;2007-ertms#4;During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state. If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.;70;70.0;[22, 25];0
18;2007-ertms#4;During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state. If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.;70;70.0;[27, 31];0
19;2007-ertms#4;During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state. If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.;70;70.0;[33, 35];0
20;2007-ertms#4;During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state. If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.;70;70.0;[36, 37];0
21;2007-ertms#4;During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state. If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.;70;70.0;[42, 44];0
22;2007-ertms#4;During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state. If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.;70;70.0;[46, 50];0
23;2007-ertms#4;During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state. If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.;70;70.0;[51, 53];0
24;2007-ertms#4;During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state. If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.;70;70.0;[56, 59];0
25;2007-ertms#4;During the transition period between two operational states (including two different national operations) the supervision provided shall at least ensure the same protection provided by the least restrictive state. If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped.;70;70.0;[66, 67];0
26;2007-ertms#5;If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped. If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.;58;58.0;[43, 45];1
27;2007-ertms#5;If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped. If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.;58;58.0;[46, 47];2
28;2007-ertms#5;If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped. If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.;58;58.0;[10, 12];2
29;2007-ertms#5;If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped. If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.;58;58.0;[14, 18];2
30;2007-ertms#5;If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped. If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.;58;58.0;[19, 21];2
31;2007-ertms#5;If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped. If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.;58;58.0;[24, 27];2
32;2007-ertms#5;If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped. If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.;58;58.0;[34, 35];2
33;2007-ertms#5;If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped. If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.;58;58.0;[43, 45];1
34;2007-ertms#5;If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped. If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.;58;58.0;[46, 47];2
35;2007-ertms#5;If an ETCS equipped train passes a level transition to a line fitted with more than one level, the onboard shall switch to the highest level, according to the priority given by trackside, for which it is equipped. If an ETCS equipped train passes a level transition to one or more levels for which it is not equipped, ETCS shall initiate a brake application.;58;58.0;[52, 56];2
36;2007-ertms#12;The target distance shall not be shown on the DMI unless selected by the driver. On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear;35;35.0;[0, 3];0
37;2007-ertms#12;The target distance shall not be shown on the DMI unless selected by the driver. On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear;35;35.0;[8, 10];0
38;2007-ertms#12;The target distance shall not be shown on the DMI unless selected by the driver. On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear;35;35.0;[22, 24];0
39;2007-ertms#12;The target distance shall not be shown on the DMI unless selected by the driver. On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear;35;35.0;[17, 18];0
40;2007-ertms#12;The target distance shall not be shown on the DMI unless selected by the driver. On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear;35;35.0;[19, 21];0
41;2007-ertms#12;The target distance shall not be shown on the DMI unless selected by the driver. On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear;35;35.0;[22, 24];0
42;2007-ertms#12;The target distance shall not be shown on the DMI unless selected by the driver. On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear;35;35.0;[26, 28];0
43;2007-ertms#12;The target distance shall not be shown on the DMI unless selected by the driver. On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him until the end of the on sight section is clear;35;35.0;[31, 33];0
44;2007-ertms#14;It shall be possible to define certain locations (e.g. tunnels) where speed increase is related to the front of the train. The braking curves shall ensure that the train complies with its speed requirements.;34;34.0;[6, 8];0
45;2007-ertms#14;It shall be possible to define certain locations (e.g. tunnels) where speed increase is related to the front of the train. The braking curves shall ensure that the train complies with its speed requirements.;34;34.0;[9, 11];0
46;2007-ertms#14;It shall be possible to define certain locations (e.g. tunnels) where speed increase is related to the front of the train. The braking curves shall ensure that the train complies with its speed requirements.;34;34.0;[13, 15];0
47;2007-ertms#14;It shall be possible to define certain locations (e.g. tunnels) where speed increase is related to the front of the train. The braking curves shall ensure that the train complies with its speed requirements.;34;34.0;[18, 20];0
48;2007-ertms#14;It shall be possible to define certain locations (e.g. tunnels) where speed increase is related to the front of the train. The braking curves shall ensure that the train complies with its speed requirements.;34;34.0;[30, 32];0
49;2007-ertms#14;It shall be possible to define certain locations (e.g. tunnels) where speed increase is related to the front of the train. The braking curves shall ensure that the train complies with its speed requirements.;34;34.0;[24, 27];0
50;2007-ertms#14;It shall be possible to define certain locations (e.g. tunnels) where speed increase is related to the front of the train. The braking curves shall ensure that the train complies with its speed requirements.;34;34.0;[30, 32];0
51;2007-ertms#15;The release speed shall be indicated on the DMI. If the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point;18;18.0;[0, 3];0
52;2007-ertms#15;The release speed shall be indicated on the DMI. If the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point;18;18.0;[7, 9];0
53;2007-ertms#15;The release speed shall be indicated on the DMI. If the release speed is calculated on board it shall ensure that the train will stop before reaching the danger point;18;18.0;[11, 14];0
54;2007-ertms#16;The driver shall have the possibility to select the language, this does not concern non pre-defined texts sent from the trackside. A train shall be supervised to its static and dynamic train speed profiles.;31;31.0;[0, 2];2
55;2007-ertms#16;The driver shall have the possibility to select the language, this does not concern non pre-defined texts sent from the trackside. A train shall be supervised to its static and dynamic train speed profiles.;31;31.0;[4, 6];2
56;2007-ertms#16;The driver shall have the possibility to select the language, this does not concern non pre-defined texts sent from the trackside. A train shall be supervised to its static and dynamic train speed profiles.;31;31.0;[8, 10];2
57;2007-ertms#16;The driver shall have the possibility to select the language, this does not concern non pre-defined texts sent from the trackside. A train shall be supervised to its static and dynamic train speed profiles.;31;31.0;[15, 20];2
58;2007-ertms#16;The driver shall have the possibility to select the language, this does not concern non pre-defined texts sent from the trackside. A train shall be supervised to its static and dynamic train speed profiles.;31;31.0;[22, 24];2
59;2007-ertms#16;The driver shall have the possibility to select the language, this does not concern non pre-defined texts sent from the trackside. A train shall be supervised to its static and dynamic train speed profiles.;31;31.0;[25, 27];1
60;2007-ertms#17;A train shall be supervised to its static and dynamic train speed profiles. Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec. before the intervention.;30;30.0;[0, 2];2
61;2007-ertms#17;A train shall be supervised to its static and dynamic train speed profiles. Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec. before the intervention.;30;30.0;[6, 13];2
62;2007-ertms#17;A train shall be supervised to its static and dynamic train speed profiles. Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec. before the intervention.;30;30.0;[15, 19];2
63;2007-ertms#17;A train shall be supervised to its static and dynamic train speed profiles. Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec. before the intervention.;30;30.0;[20, 22];2
64;2007-ertms#17;A train shall be supervised to its static and dynamic train speed profiles. Within the braking curve area, a warning shall be given to the driver to enable him to react and avoid intervention from ETCS equipment at least 5 sec. before the intervention.;30;30.0;[26, 28];1
65;2007-ertms#25;After the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value The ETCS trainborne equipment shall transmit its own train identification to the RBC.;26;26.0;[1, 3];2
66;2007-ertms#25;After the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value The ETCS trainborne equipment shall transmit its own train identification to the RBC.;26;26.0;[3, 5];2
67;2007-ertms#25;After the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value The ETCS trainborne equipment shall transmit its own train identification to the RBC.;26;26.0;[13, 16];2
68;2007-ertms#25;After the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value The ETCS trainborne equipment shall transmit its own train identification to the RBC.;26;26.0;[18, 20];2
69;2007-ertms#25;After the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value The ETCS trainborne equipment shall transmit its own train identification to the RBC.;26;26.0;[20, 24];1
70;0000 - gamma j#36;The system hardware shall be fixed and patched via an internet connection. Yoggie shall coordinate on future enhancement and features with our organization.;22;22.0;[0, 3];0
71;0000 - gamma j#36;The system hardware shall be fixed and patched via an internet connection. Yoggie shall coordinate on future enhancement and features with our organization.;22;22.0;[9, 12];0
72;0000 - gamma j#36;The system hardware shall be fixed and patched via an internet connection. Yoggie shall coordinate on future enhancement and features with our organization.;22;22.0;[13, 14];0
73;0000 - gamma j#36;The system hardware shall be fixed and patched via an internet connection. Yoggie shall coordinate on future enhancement and features with our organization.;22;22.0;[17, 19];0
74;2007-eirene_fun_7-2#42b;It shall be possible for the equipment to display the identity of the called or calling party in the form of a standard telephone number. It shall be possible to display the identity of the called or calling party as a textual description of their function.;45;45.0;[5, 7];0
75;2007-eirene_fun_7-2#42b;It shall be possible for the equipment to display the identity of the called or calling party in the form of a standard telephone number. It shall be possible to display the identity of the called or calling party as a textual description of their function.;45;45.0;[32, 34];0
76;2007-eirene_fun_7-2#42b;It shall be possible for the equipment to display the identity of the called or calling party in the form of a standard telephone number. It shall be possible to display the identity of the called or calling party as a textual description of their function.;45;45.0;[35, 40];0
77;2007-eirene_fun_7-2#42b;It shall be possible for the equipment to display the identity of the called or calling party in the form of a standard telephone number. It shall be possible to display the identity of the called or calling party as a textual description of their function.;45;45.0;[18, 20];0
78;2007-eirene_fun_7-2#42b;It shall be possible for the equipment to display the identity of the called or calling party in the form of a standard telephone number. It shall be possible to display the identity of the called or calling party as a textual description of their function.;45;45.0;[21, 25];0
79;2007-eirene_fun_7-2#42b;It shall be possible for the equipment to display the identity of the called or calling party in the form of a standard telephone number. It shall be possible to display the identity of the called or calling party as a textual description of their function.;45;45.0;[32, 34];0
80;2007-eirene_fun_7-2#42b;It shall be possible for the equipment to display the identity of the called or calling party in the form of a standard telephone number. It shall be possible to display the identity of the called or calling party as a textual description of their function.;45;45.0;[35, 40];0
81;2007-eirene_fun_7-2#42b;It shall be possible for the equipment to display the identity of the called or calling party in the form of a standard telephone number. It shall be possible to display the identity of the called or calling party as a textual description of their function.;45;45.0;[41, 44];0
82;2007-eirene_fun_7-2#47;It shall be possible for the user to re-join the call which is on hold at any time. The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them .;47;47.0;[5, 7];2
83;2007-eirene_fun_7-2#47;It shall be possible for the user to re-join the call which is on hold at any time. The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them .;47;47.0;[11, 13];2
84;2007-eirene_fun_7-2#47;It shall be possible for the user to re-join the call which is on hold at any time. The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them .;47;47.0;[16, 17];2
85;2007-eirene_fun_7-2#47;It shall be possible for the user to re-join the call which is on hold at any time. The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them .;47;47.0;[18, 20];2
86;2007-eirene_fun_7-2#47;It shall be possible for the user to re-join the call which is on hold at any time. The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them .;47;47.0;[21, 23];2
87;2007-eirene_fun_7-2#47;It shall be possible for the user to re-join the call which is on hold at any time. The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them .;47;47.0;[25, 27];2
88;2007-eirene_fun_7-2#47;It shall be possible for the user to re-join the call which is on hold at any time. The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them .;47;47.0;[29, 31];1
89;2007-eirene_fun_7-2#47;It shall be possible for the user to re-join the call which is on hold at any time. The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them .;47;47.0;[36, 39];2
90;2007-eirene_fun_7-2#47;It shall be possible for the user to re-join the call which is on hold at any time. The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them .;47;47.0;[41, 42];2
91;2007-eirene_fun_7-2#47;It shall be possible for the user to re-join the call which is on hold at any time. The network shall provide the ability to inform a user, who is involved in an existing call, of attempts by other users to contact them .;47;47.0;[43, 45];2
92;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[0, 2];2
93;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[3, 5];2
94;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[6, 7];2
95;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[8, 11];2
96;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[13, 14];2
97;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[25, 28];2
98;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[29, 34];1
99;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[39, 41];2
100;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[0, 2];2
101;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[3, 5];2
102;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[6, 7];2
103;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[8, 11];2
104;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[13, 14];2
105;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[25, 28];2
106;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[29, 34];1
107;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[39, 41];2
108;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[42, 43];2
109;2007-eirene_fun_7-2#53a;"This section of the specification gives details of these core requirements, while sections 5, 6 and 7 detail requirements specific to each of the radio types. Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I) a) Cab radio for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS; b) General purpose radio for general use by railway personnel; c) Operational radio for use by railway personnel involved in train operations such as shunting and trackside maintenance.";51;51.0;[47, 49];2
110;2007-eirene_fun_7-2#57;In particular, EIRENE equipment could interfere with: (I) 5.1.1 This section identifies the functional requirements for the EIRENE Cab radio. It covers the functionality provided by the Cab radio, driver MMI and support to other on-train systems.;25;25.0;[3, 5];2
111;2007-eirene_fun_7-2#57;In particular, EIRENE equipment could interfere with: (I) 5.1.1 This section identifies the functional requirements for the EIRENE Cab radio. It covers the functionality provided by the Cab radio, driver MMI and support to other on-train systems.;25;25.0;[13, 15];1
112;2007-eirene_fun_7-2#57;In particular, EIRENE equipment could interfere with: (I) 5.1.1 This section identifies the functional requirements for the EIRENE Cab radio. It covers the functionality provided by the Cab radio, driver MMI and support to other on-train systems.;25;25.0;[16, 19];2
113;2007-eirene_fun_7-2#57;In particular, EIRENE equipment could interfere with: (I) 5.1.1 This section identifies the functional requirements for the EIRENE Cab radio. It covers the functionality provided by the Cab radio, driver MMI and support to other on-train systems.;25;25.0;[20, 24];2
114;2007-eirene_fun_7-2#58;A Push-To-Talk function shall be provided for use during group calls. Picking up the handset shall transfer the communication to the handset and reduce the loudspeaker volume to its minimum level.;33;33.0;[0, 7];2
115;2007-eirene_fun_7-2#58;A Push-To-Talk function shall be provided for use during group calls. Picking up the handset shall transfer the communication to the handset and reduce the loudspeaker volume to its minimum level.;33;33.0;[11, 12];2
116;2007-eirene_fun_7-2#58;A Push-To-Talk function shall be provided for use during group calls. Picking up the handset shall transfer the communication to the handset and reduce the loudspeaker volume to its minimum level.;33;33.0;[13, 15];2
117;2007-eirene_fun_7-2#58;A Push-To-Talk function shall be provided for use during group calls. Picking up the handset shall transfer the communication to the handset and reduce the loudspeaker volume to its minimum level.;33;33.0;[22, 24];2
