id;context;pronoun;position;antecedents;spans;schars
weather#12;The DOG shall be able to monitor new environmental data services as they#1 are added.;they#1;12;new environmental data services;[(33, 64)];[33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64]
weather#13;The DOG shall be able to record its#1 activities.;its#1;7;The DOG;[(0, 7)];[0, 1, 2, 3, 4, 5, 6, 7]
weather#14;The QEDC shall maintain observations and their#1 associated quality flags for seven days.;their#1;6;observations;[(24, 36)];[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]
weather#15;The QEDC shall support queries for its#1 observations.;its#1;6;The QEDC;[(0, 8)];[0, 1, 2, 3, 4, 5, 6, 7, 8]
weather#16;QEDS shall log their#1 activities.;their#1;3;;[];[]
weather#18;The contributors shall define the units of measurements of their#1 shared data and information.;their#1;9;The contributors;[(0, 16)];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]
weather#19;The Clarus program shall determine how it#1 will provide data and information to contributors.;it#1;6;The Clarus program;[(0, 18)];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]
weather#20;The Clarus program shall inform contributors of the acceptance and use of their#1 data and information.;their#1;12;contributors;[(32, 44)];[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]
railway#01;The logon screen shall activate command control for the user if the user requests it#1 and has authorization.;it#1;14;command control;[(32, 47)];[32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]
railway#02;When a device status has been overridden, on the screen it#1 shall appear with different color from the normal and alarm status colors.;it#1;11;a device status;[(5, 20)];[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
railway#04;The user should not be able to update log entries other than for their#1 own login, for the current day and current shift.;their#1;13;;[];[]
railway#05;Any change in device state shall be reported on the screen not later than 2 seconds from the time it#1 occurs.;it#1;19;Any change;[(0, 10)];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
railway#06-a;When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify it#1 and all its associated device sensors.;it#1;24;;[];[]
railway#06-b;When each workstation and control unit (workstation or intelligent controller at the FCU or DCU) comes online, the system shall identify it and all its#1 associated device sensors.;its#1;27;;[];[]
railway#07;The RLCS software shall initialize each control unit and device sensor as it#1 is identified.;it#1;12;;[];[]
railway#08;"The devices can be manually controlled/operated from their#1 cabinets (e.g."": Gates).""";their#1;9;The devices;[(0, 11)];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
railway#09;The normal operating mode is Monday through Friday, between 5:00am and 8:00pm, but the system must be functional in order to stay in its#1 closed state after hours.;its#1;25;the system;[(83, 93)];[83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93]
railway#11-a;If the supervision is performed by a RBC it#1 shall be possible to prevent movements of a traction unit in its area if not authorised by the RBC.;it#1;9;;[];[]
railway#11-b;If the supervision is performed by a RBC it shall be possible to prevent movements of a traction unit in its#1 area if not authorised by the RBC.;its#1;22;;[];[]
railway#15;On request of the RBC, the driver shall have the possibility to confirm that the track ahead of him#1 until the end of the on sight section is clear.;him#1;19;the driver;[(23, 33)];[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]
railway#17;If the release speed is calculated on board it#1 shall ensure that the train will stop before reaching the danger point.;it#1;8;;[];[]
railway#19;Within the braking curve area, a warning shall be given to the driver to enable him#1 to react and avoid intervention from ETCS equipment at least 5 sec before the intervention.;him#1;16;the driver;[(59, 69)];[59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]
railway#21;If a train cannot stop at the proposed new target location it#1 shall reject the request and keep the old target location.;it#1;12;;[];[]
railway#22;The train may proceed unrestricted to the end of its#1 movement authority.;its#1;9;The train;[(0, 9)];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
railway#24;If the text message facility is implemented, it#1 shall not interfere with the ability of users to make or receive high priority voice or data calls.;it#1;8;the text message facility;[(3, 28)];[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]
railway#25;Where fax functionality is provided, it#1 shall be possible to interrupt the fax to make or receive a high priority voice or data call.;it#1;6;;[];[]
railway#31;If the train moves out of the call area whilst the call is in progress, it#1 will leave the call and an audible and visual indication of the loss of call shall be provided to the driver.;it#1;16;;[];[]
railway#34-b;It should be possible for the Cab radio to be used without the network service (if it#1 should fail or if there is no authorised network coverage) such that local open channel communications are still possible.;it#1;17;;[];[]
railway#35;"Where the Cab radio is required by a national railway to support a handheld portable, the Cab radio shall: - provide a clear indication as to whether the handheld portable is activated or not; - provide an interface to allow the handheld portable to be recharged when not in use; - forward calls automatically to the handheld portable when the handheld portable is activated; - cancel any call forwarding to the handheld portable when it#1 is deactivated; - allow the driver to override the call forwarding to the handheld portable.";it#1;79;the Cab radio;[(6, 19), (86, 99)];[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]
railway#36;"When the MMI is switched on, the configuration shall be determined by the time elapsed since the MMI was last switched off: - less than t minutes – the MMI shall power up with the same configuration as when it#1 was last powered down; - greater than t minutes – the MMI shall power up with default settings.";it#1;41;the MMI;[(5, 12), (93, 100), (148, 155), (262, 269)];[5, 6, 7, 8, 9, 10, 11, 12, 93, 94, 95, 96, 97, 98, 99, 100, 148, 149, 150, 151, 152, 153, 154, 155, 260, 261, 262, 263, 264, 265, 266, 267]
railway#40-a;The design of the equipment shall make it possible to install it#1 within a cab complying with the requirements of UIC fiche 651 concerning the layout of cab equipment5.;it#1;11;;[];[]
railway#40-b;The design of the equipment shall make it possible to install it#1 within a cab complying with the requirements of UIC fiche 651 concerning the layout of cab equipment5.;it#1;11;;[];[]
railway#41;If the call is a broadcast call, the user shall be informed that he#1 cannot speak as part of the broadcast call.;he#1;14;the user;[(33, 41)];[33, 34, 35, 36, 37, 38, 39, 40, 41]
railway#42;Where a change of functional number is required, it#1 shall be possible for the user to initiate the change.;it#1;9;;[];[]
railway#43-b;It shall be possible for the user to find and display stored numbers and their#1 information.;their#1;14;stored numbers;[(54, 68)];[54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68]
railway#44;"The Operational radio is specified to allow its#1 use in the operating environment experienced on the operational railway# (eg shunting and maintenance).""";its#1;7;The Operational radio;[(0, 21)];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]
railway#45;Controls shall be designed such that they#1 are suitable for use by people wearing gloves.;they#1;6;Controls;[(0, 8)];[0, 1, 2, 3, 4, 5, 6, 7, 8]
railway#46-b;It should be possible for the system to prevent certain types of users from registering functional numbers that they#1 are not authorised to use.;they#1;18;;[];[]
railway#47;As a minimum, the location information used by the EIRENE system shall be derived from that available from the network itself#1 (eg current cell or base station serving the mobile).;itself#1;21;;[];[]
railway#48;After the 30 second period, if the connection was unsuccessful, the system shall provide another audible and visual indication that it#1 was unable to connect the call.;it#1;22;the system;[(64, 74)];[64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74]
railway#49;"For post-incident analysis, it#1 is important that the origination and reception of railway# emergency calls by mobiles is confirmed by a message sent to a ground-based central location (and also recorded in the on-train recording device).""";it#1;6;;[];[]
railway#50;Throughout the duration of the shunting group call, it#1 shall be possible for any member of the shunting group to speak to all other members of the group, using the PTT function (as described in sections 5.2.2.53, 6.2.2.12 and 7.2.2.20), except during transmission of the link assurance signal.;it#1;9;;[];[]
railway#53;300ms represents our#1 current best estimate of the QoS figure, although this will need to be confirmed through user trials.;our#1;2;;[];[]
railway#54;Each authority can decide whether it#1 wishes to use synchronised BTSs.;it#1;5;Each authority;[(0, 14)];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]
railway#55;The network shall terminate the ongoing VGCS/VBS call if it#1 receives the 3-digit sequence “***” transmitted via DTMF signals.;it#1;11;;[];[]
railway#56;The network shall send the SET-PARAMETER message with the attribute “D-ATT = T”1 [EN 301 515, Index [6]] to the mobile station of the talking subscriber if it#1 receives the 3- digit sequence “ddd” transmitted via DTMF or the group call SETUP message2 from a controller terminal.;it#1;37;;[];[]
railway#57-a;When the network has detected the 3-digit DTMF sequence “ddd” transmitted via DTMF from a controller terminal and if the controller was not previously talking it#1 should indicate its recognition by playing a single DTMF grant tone “?” of duration of 100ms  5ms to be sent to that controller terminal only.;it#1;29;;[];[]
railway#57-b;When the network has detected the 3-digit DTMF sequence “ddd” transmitted via DTMF from a controller terminal and if the controller was not previously talking it should indicate its#1 recognition by playing a single DTMF grant tone “?” of duration of 100ms  5ms to be sent to that controller terminal only.;its#1;32;;[];[]
railway#58;The network shall send the SET-PARAMETER message with the attribute “D-ATT = F”3 [EN 301 515, Index [6]] to the mobile of the talking subscriber only if it#1 has received the 3-digit sequence “dDD” transmitted via DTMF from all the talking controllers4.;it#1;37;;[];[]
railway#59;Many of the railway specific standards referenced are Pre-standards (eg [prEN 50155, ENV 50121, prEN 50125]) and should be re-examined for their#1 applicability to the EIRENE system if any modifications are made to these standards in the future.;their#1;31;the railway specific standards;[(8, 38)];[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]
railway#60;Each of the other cabs on the train will be contacted using its#1 functional number (registered by the other drivers prior to the establishment of the call).;its#1;12;;[];[]
railway#61;Upon registration, the mobile shall be accessible by calling the MSISDN or the Engine or Coach number with which it#1 is associated.;it#1;20;the mobile;[(19, 29)];[19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
railway#62;The Cab radio system shall provide a means for the driver to terminate established calls which he#1 is authorised to terminate.;he#1;16;the driver;[(47, 57)];[47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57]
home#01;The Digitalhome programmable Appliance Manager shall provide for management of a home’s small appliances, including lighting units, by allowing a user to turn them#1 on or off as desired.;them#1;26;;[];[]
home#02;Although the product produced under this document will be a “prototype” version, all modules and components of this prototype version shall be designed and implemented in such a manner that it#1 may be incorporated in a fully specified commercial version of the Digitalhome System.;it#1;33;;[];[]
home#03;The Digitalhome System shall provide users with online documentation about the Digitalhome system installed in their#1 home.;their#1;15;users;[(37, 42)];[37, 38, 39, 40, 41, 42]
space#01;"The FCP shall, if the NEFU ICP fails to send its#1 ICP Ready signal, mask out that ICP, but continue to use the NE.16.""";its#1;11;the NEFU ICP;[(18, 30)];[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]
space#02-a;Each rate group has some number of tasks associated with it and it#1 also has a rate for those tasks.;it#1;12;Each rate group;[(0, 15)];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
space#02-b;Each rate group has some number of tasks associated with it and it#1 also has a rate for those tasks.;it#1;12;Each rate group;[(0, 15)];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
space#03;The enabled tasks are then unblocked at the rate given in its#1 associated rate group.;its#1;11;;[];[]
space#04-a;An API call is available for the task to call to block itself when it#1 is finished with its cyclic processing.;it#1;14;;[];[]
space#04-b;An API call is available for the task to call to block itself when it is finished with its#1 cyclic processing.;its#1;18;;[];[]
space#05-a;There is up to a full major frame from notification of an impending mode change to acting on it in minor frame 0 of the next major frame plus the time it#1 takes during the next minor frame 0 to switch tasking.;it#1;31;;[];[]
space#05-b;There is up to a full major frame from notification of an impending mode change to acting on it in minor frame 0 of the next major frame plus the time it#1 takes during the next minor frame 0 to switch tasking.;it#1;31;;[];[]
space#06;The scheduler shall execute cyclic tasks, providing an API call to allow the application to block until its#1 next iteration.;its#1;18;;[];[]
space#07;The scheduler shall give tasks priority values according to their#1 rate - the higher the rate, the higher the priority.;their#1;9;;[];[]
space#08-a;The scheduler shall provide a mechanism to inform a task when it did not complete during the previous frame and restart it#1 at the beginning of the task.;it#1;21;;[];[]
space#08-b;The scheduler shall provide a mechanism to inform a task when it did not complete during the previous frame and restart it#1 at the beginning of the task.;it#1;21;;[];[]
space#09;All tasks in rate groups and their#1 corresponding schedules for all vehicle modes will be setup at system initialization.;their#1;6;;[];[]
space#10;Tasks in a rate group must suspend on a scheduler API call at the top of their#1 execution loop.;their#1;16;Tasks;[(0, 5)];[0, 1, 2, 3, 4, 5]
space#11;For hardware exceptions and reserved exceptions, the FTSS shall make the error type and its#1 context data available to the application, then return from the exception handler to the task that was running when the exception occurred.;its#1;15;;[];[]
space#12;Messages are addressed with a global unique communication identifier that routes them#1 to the appropriate virtual group (VG) and socket.;them#1;11;Messages;[(0, 8)];[0, 1, 2, 3, 4, 5, 6, 7, 8]
space#13;This restriction does NOT apply to the ICPs since they#1 are running as simplex VGs.;they#1;9;the ICPs;[(35, 43)];[35, 36, 37, 38, 39, 40, 41, 42, 43]
space#14;FTSS shall mask out a babbling NE or ICP within 40 milliseconds after it#1 is detected.;it#1;13;;[];[]
space#15;Synchronous message passing sockets shall queue outgoing messages until they#1 are transmitted at frame boundaries.;they#1;9;;[];[]
space#16-a;"Pipes may be opened by multiple receiving tasks if they are created with the broadcast capability; otherwise they#1 may only be opened by one receiving task.";they#1;18;;[];[]
space#16-b;"Pipes may be opened by multiple receiving tasks if they are created with the broadcast capability; otherwise they#1 may only be opened by one receiving task.";they#1;18;;[];[]
space#17;"Communication services shall provide the capability to create pipes which ""broadcast"" their#1 messages to all virtual groups.""""";their#1;13;;[];[]
space#18;If the broadcast option is used, each virtual group should open the pipe and read from it#1 to avoid flow control problems.;it#1;17;;[];[]
space#19;The application software shall have the capability to reset a permanently failed channel to its#1 initial recovery state.;its#1;14;;[];[]
space#20;Redundancy Management picks up where it#1 left off in these attempts.;it#1;5;Redundancy Management;[(0, 21)];[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]
